municipio,año,casos,poblacion,casos_per_100k,key
ARAUCA,2001,51,101457.0,50.267601052662705,ARAUCA_2001
ARAUCA,2002,43,101457.0,42.382487162048946,ARAUCA_2002
ARAUCA,2003,31,101457.0,30.55481632612831,ARAUCA_2003
ARAUCA,2004,22,101457.0,21.684063199187833,ARAUCA_2004
ARAUCA,2005,22,101457.0,21.684063199187833,ARAUCA_2005
ARAUCA,2006,5,101457.0,4.928196181633599,ARAUCA_2006
ARAUCA,2007,7,101457.0,6.8994746542870375,ARAUCA_2007
ARAUCA,2008,4,101457.0,3.9425569453068787,ARAUCA_2008
ARAUCA,2009,4,101457.0,3.9425569453068787,ARAUCA_2009
ARAUCA,2010,7,101457.0,6.8994746542870375,ARAUCA_2010
ARAUCA,2011,6,101457.0,5.9138354179603185,ARAUCA_2011
ARAUCA,2012,2,101457.0,1.9712784726534394,ARAUCA_2012
ARAUCA,2013,8,101457.0,7.8851138906137574,ARAUCA_2013
ARAUCA,2014,10,101457.0,9.856392363267197,ARAUCA_2014
ARAUCA,2015,1,101457.0,0.9856392363267197,ARAUCA_2015
ARAUCA,2016,8,101457.0,7.8851138906137574,ARAUCA_2016
ARAUCA,2017,4,101457.0,3.9425569453068787,ARAUCA_2017
ARAUCA,2018,1,101457.0,0.9856392363267197,ARAUCA_2018
ARAUCA,2019,1,101457.0,0.9856392363267197,ARAUCA_2019
ARAUCA,2020,1,101457.0,0.9856392363267197,ARAUCA_2020
ARAUCA,2021,1,101457.0,0.9856392363267197,ARAUCA_2021
ARAUCA,2022,2,101457.0,1.9712784726534394,ARAUCA_2022
ARAUCA,2023,5,101457.0,4.928196181633599,ARAUCA_2023
ARAUCA,2024,1,101457.0,0.9856392363267197,ARAUCA_2024
ARAUQUITA,1985,7,58905.0,11.883541295306001,ARAUQUITA_1985
ARAUQUITA,1986,7,58905.0,11.883541295306001,ARAUQUITA_1986
ARAUQUITA,1987,9,58905.0,15.278838808250573,ARAUQUITA_1987
ARAUQUITA,1988,16,58905.0,27.162380103556576,ARAUQUITA_1988
ARAUQUITA,1989,11,58905.0,18.674136321195142,ARAUQUITA_1989
ARAUQUITA,1990,10,58905.0,16.97648756472286,ARAUQUITA_1990
ARAUQUITA,1991,15,58905.0,25.464731347084285,ARAUQUITA_1991
ARAUQUITA,1992,7,58905.0,11.883541295306001,ARAUQUITA_1992
ARAUQUITA,1993,6,58905.0,10.185892538833714,ARAUQUITA_1993
ARAUQUITA,1994,9,58905.0,15.278838808250573,ARAUQUITA_1994
ARAUQUITA,1995,16,58905.0,27.162380103556576,ARAUQUITA_1995
ARAUQUITA,1996,18,58905.0,30.557677616501145,ARAUQUITA_1996
ARAUQUITA,1997,14,58905.0,23.767082590612002,ARAUQUITA_1997
ARAUQUITA,1998,10,58905.0,16.97648756472286,ARAUQUITA_1998
ARAUQUITA,1999,27,58905.0,45.83651642475172,ARAUQUITA_1999
ARAUQUITA,2000,28,58905.0,47.534165181224004,ARAUQUITA_2000
ARAUQUITA,2001,23,58905.0,39.045921398862575,ARAUQUITA_2001
ARAUQUITA,2002,15,58905.0,25.464731347084285,ARAUQUITA_2002
ARAUQUITA,2003,31,58905.0,52.62711145064086,ARAUQUITA_2003
ARAUQUITA,2004,15,58905.0,25.464731347084285,ARAUQUITA_2004
ARAUQUITA,2005,11,58905.0,18.674136321195142,ARAUQUITA_2005
