municipio,year,hectares_lost
TIERRALTA,2001,1388
VALENCIA,2001,602
BARRANCO MINAS,2001,301
CACAHUAL,2001,40
LA GUADALUPE,2001,13
MAPIRIPANA,2001,124
MORICHAL NUEVO,2001,106
PANA PANA,2001,153
PUERTO COLOMBIA,2001,232
INIRIDA,2001,684
SAN FELIPE,2001,48
CALAMAR,2001,2893
EL RETORNO,2001,2460
MIRAFLORES,2001,2111
SAN JOSE DEL GUAVIARE,2001,6656
ACEVEDO,2001,139
AGRADO,2001,14
AIPE,2001,46
ALGECIRAS,2001,170
ALTAMIRA,2001,64
BARAYA,2001,124
CAMPOALEGRE,2001,142
COLOMBIA,2001,152
ELIAS,2001,23
GARZON,2001,90
GIGANTE,2001,91
GUADALUPE,2001,36
HOBO,2001,18
IQUIRA,2001,81
ISNOS,2001,89
LA ARGENTINA,2001,103
LA PLATA,2001,147
NEIVA,2001,199
NATAGA,2001,13
OPORAPA,2001,26
PAICOL,2001,39
PALERMO,2001,176
PALESTINA,2001,36
PITAL,2001,54
PITALITO,2001,110
RIVERA,2001,64
SALADOBLANCO,2001,43
SAN AGUSTIN,2001,97
SANTA MARIA,2001,84
SUAZA,2001,81
TARQUI,2001,55
TELLO,2001,52
TERUEL,2001,21
TESALIA,2001,88
TIMANA,2001,59
VILLAVIEJA,2001,20
YAGUARA,2001,79
BARRANCAS,2001,853
DIBULLA,2001,544
DISTRACCION,2001,467
EL MOLINO,2001,49
FONSECA,2001,968
HATONUEVO,2001,436
LA JAGUA DEL PILAR,2001,24
MAICAO,2001,2611
MANAURE,2001,15
RIOHACHA,2001,1991
SAN JUAN DEL CESAR,2001,991
URIBIA,2001,119
URUMITA,2001,48
VILLANUEVA,2001,143
ALGARROBO,2001,263
ARACATACA,2001,78
ARIGUAINI,2001,535
CERRO SAN ANTONIO,2001,10
CHIVOLO,2001,497
CIENAGA,2001,418
CONCORDIA,2001,11
EL BANCO,2001,194
EL PI¥ON,2001,72
EL RETEN,2001,39
FUNDACION,2001,245
GUAMAL,2001,94
NUEVA GRANADA,2001,250
PEDRAZA,2001,14
PIJI¥O DEL CARMEN,2001,622
PIVIJAY,2001,163
PLATO,2001,1026
PUEBLOVIEJO,2001,25
REMOLINO,2001,7
SABANAS DE SAN ANGEL,2001,609
SALAMINA,2001,30
SAN SEBASTIAN DE BUENAVISTA,2001,94
SAN ZENON,2001,70
SANTA ANA,2001,435
SANTA BARBARA DE PINTO,2001,129
SANTA MARTA,2001,1347
SITIONUEVO,2001,7
TENERIFE,2001,453
ZAPAYAN,2001,24
ZONA BANANERA,2001,74
ACACIAS,2001,117
BARRANCA DE UPIA,2001,24
CABUYARO,2001,161
CASTILLA LA NUEVA,2001,80
CUMARAL,2001,59
EL CALVARIO,2001,2
EL CASTILLO,2001,64
EL DORADO,2001,15
FUENTE DE ORO,2001,121
GRANADA,2001,47
GUAMAL,2001,6
LA MACARENA,2001,9844
LA URIBE,2001,2662
LEJANIAS,2001,41
MAPIRIPAN,2001,3283
MESETAS,2001,739
PUERTO CONCORDIA,2001,459
PUERTO GAITAN,2001,611
PUERTO LLERAS,2001,551
PUERTO LOPEZ,2001,94
PUERTO RICO,2001,3082
RESTREPO,2001,22
SAN CARLOS DE GUAROA,2001,256
SAN JUAN DE ARAMA,2001,174
SAN JUANITO,2001,0
SAN LUIS DE CUBARRAL,2001,31
SAN MARTIN,2001,427
VILLAVICENCIO,2001,49
VISTAHERMOSA,2001,2430
ALBAN,2001,14
ALDANA,2001,127
ANCUYA,2001,8
ARBOLEDA,2001,30
BARBACOAS,2001,973
BELEN,2001,15
BUESACO,2001,181
CHACHAGUI,2001,25
COLON,2001,25
CONSACA,2001,32
CONTADERO,2001,1
CUASPUD,2001,85
CUMBAL,2001,229
CUMBITARA,2001,487
CORDOBA,2001,16
EL CHARCO,2001,543
EL PE¥OL,2001,12
EL ROSARIO,2001,329
EL TABLON,2001,89
EL TAMBO,2001,35
FRANCISCO PIZARRO,2001,78
FUNES,2001,20
GUACHUCAL,2001,358
GUAITARILLA,2001,18
GUALMATAN,2001,4
ILES,2001,9
IMUES,2001,1
IPIALES,2001,399
LA CRUZ,2001,70
LA FLORIDA,2001,17
LA LLANADA,2001,48
LA TOLA,2001,15
LA UNION,2001,79
LEIVA,2001,42
LINARES,2001,54
LOS ANDES,2001,96
MAGUI,2001,741
MALLAMA,2001,214
MOSQUERA,2001,83
NARI¥O,2001,8
OLAYA,2001,345
OSPINA,2001,10
POLICARPA,2001,286
POTOSI,2001,16
PROVIDENCIA,2001,2
PUERRES,2001,12
PUPIALES,2001,119
RICAURTE,2001,64
ROBERTO PAYAN,2001,957
SAMANIEGO,2001,154
SAN BERNARDO,2001,34
PASTO,2001,144
SAN LORENZO,2001,48
SAN PABLO,2001,82
SAN PEDRO DE CARTAGO,2001,19
SANDONA,2001,20
SANTA BARBARA,2001,129
SANTA CRUZ,2001,104
SAPUYES,2001,112
TAMINANGO,2001,46
TANGUA,2001,74
TUMACO,2001,4112
TUQUERRES,2001,305
YACUANQUER,2001,24
ABREGO,2001,234
ARBOLEDAS,2001,59
BOCHALEMA,2001,60
BUCARASICA,2001,103
CHINACOTA,2001,37
CHITAGA,2001,35
CONVENCION,2001,195
CUCUTILLA,2001,52
CACHIRA,2001,97
CACOTA,2001,2
DURANIA,2001,125
EL CARMEN,2001,464
EL TARRA,2001,455
EL ZULIA,2001,827
GRAMALOTE,2001,53
HACARI,2001,202
HERRAN,2001,9
LA ESPERANZA,2001,347
LA PLAYA,2001,72
LABATECA,2001,18
LOS PATIOS,2001,34
LOURDES,2001,51
MUTISCUA,2001,4
OCA¥A,2001,66
PAMPLONA,2001,24
PAMPLONITA,2001,52
PUERTO SANTANDER,2001,31
RAGONVALIA,2001,37
SALAZAR,2001,90
SAN CALIXTO,2001,158
