año,municipio,departamento,categoria,grupo_especifico,tipo_violencia,lat,lon
1996,MEDELLIN,ANTIOQUIA,GUERRILLA,ELN,AT_Atentados_Terroristas,6.250063,-75.578661
1996,MONTERIA,CORDOBA,GUERRILLA,FARC,AT_Atentados_Terroristas,8.584698016,-75.95055079
1996,MEDELLIN,ANTIOQUIA,GRUPO ARMADO NO IDENTIFICADO,,AT_Atentados_Terroristas,6.250063,-75.578661
1996,MONTERIA,CORDOBA,GUERRILLA,FARC,AT_Atentados_Terroristas,8.584698016,-75.95055079
1997,MONTERIA,CORDOBA,GUERRILLA,,AT_Atentados_Terroristas,8.584698016,-75.95055079
1997,CUCUTA,NORTE DE SANTANDER,GUERRILLA,ELN,AT_Atentados_Terroristas,8.112041811,-72.48862641
1997,MEDELLIN,ANTIOQUIA,GUERRILLA,FARC,AT_Atentados_Terroristas,6.250063,-75.578661
1997,ANORI,ANTIOQUIA,GUERRILLA,,AT_Atentados_Terroristas,7.193110778,-75.10848954
1998,VIOTA,CUNDINAMARCA,GUERRILLA,,AT_Atentados_Terroristas,4.436054105,-74.48543339
1998,VIOTA,CUNDINAMARCA,GUERRILLA,FARC,AT_Atentados_Terroristas,4.436054105,-74.48543339
1998,MEDELLIN,ANTIOQUIA,GUERRILLA,ELN,AT_Atentados_Terroristas,6.257590259,-75.61103107
1998,RIOHACHA,LA GUAJIRA,DESCONOCIDO,,AT_Atentados_Terroristas,11.24297214,-72.95876315
1998,SAN ONOFRE,SUCRE,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,AT_Atentados_Terroristas,9.814599536,-75.50522919
1999,"BOGOTA, D.C.","BOGOTA, D. C.",DESCONOCIDO,,AT_Atentados_Terroristas,4.316107698,-74.1810727
1999,MEDELLIN,ANTIOQUIA,GUERRILLA,ELN,AT_Atentados_Terroristas,6.257590259,-75.61103107
1999,MONTERIA,CORDOBA,GUERRILLA,FARC,AT_Atentados_Terroristas,8.584698016,-75.95055079
1999,MEDELLIN,ANTIOQUIA,GUERRILLA,ELN,AT_Atentados_Terroristas,6.250063,-75.578661
1999,VALLE DEL GUAMUEZ,PUTUMAYO,GUERRILLA,FARC,AT_Atentados_Terroristas,0.42012589,-76.77067026
1999,"BOGOTA, D.C.","BOGOTA, D. C.",OTRO ¿CUÁL?,,AT_Atentados_Terroristas,4.316107698,-74.1810727
2000,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,FARC,AT_Atentados_Terroristas,4.650173,-74.107359
2000,GIRARDOT,CUNDINAMARCA,GRUPO ARMADO NO IDENTIFICADO,,AT_Atentados_Terroristas,4.338154518,-74.81143922
2000,CACHIPAY,CUNDINAMARCA,GUERRILLA,FARC,AT_Atentados_Terroristas,4.723063341,-74.45919528
