año_num,año,municipio,departamento,perpetrador,victimas,lat,lon,tipo_violencia
2014,2014,MEDELLIN,ANTIOQUIA,FARC,0.0,6.250063,-75.578661,CAT_Atentados_Terroristas
2014,2014,MIRANDA,CAUCA,FARC,1.0,3.228235212,-76.21670827,CAT_Atentados_Terroristas
2015,2015,PUERTO ASIS,PUTUMAYO,FARC,0.0,0.433884539,-76.52158203,CAT_Atentados_Terroristas
2015,2015,ANORI,ANTIOQUIA,FARC,0.0,7.193110778,-75.10848954,CAT_Atentados_Terroristas
2015,2015,MOCOA,PUTUMAYO,FARC,0.0,1.26070915,-76.66584349,CAT_Atentados_Terroristas
2015,2015,FLORIDA,VALLE DEL CAUCA,FARC,0.0,3.304104295,-76.16477307,CAT_Atentados_Terroristas
2015,2015,SAN ANDRES DE TUMACO,NARIÑO,FARC,0.0,1.574550638,-78.61540963,CAT_Atentados_Terroristas
1965,1965,CUCUTA,NORTE DE SANTANDER,ELN,0.0,7.905613,-72.508577,CAT_Atentados_Terroristas
2003,2003,SARAVENA,ARAUCA,FARC,5.0,6.906941714,-71.85070757,CAT_Atentados_Terroristas
1965,1965,"BOGOTA, D.C.","BOGOTA, D. C.",ELN,1.0,4.650173,-74.107359,CAT_Atentados_Terroristas
2001,2001,GRAMALOTE,NORTE DE SANTANDER,ELN,2.0,7.916946,-72.787233,CAT_Atentados_Terroristas
2012,2012,ALGECIRAS,HUILA,FARC,0.0,2.49785068,-75.29134946,CAT_Atentados_Terroristas
2012,2012,EL CHARCO,NARIÑO,PRESENCIA GAO SIN ATRIBUCIÓN,0.0,2.216382295,-77.99533234,CAT_Atentados_Terroristas
2013,2013,INZA,CAUCA,FARC,8.0,2.549183,-76.063503,CAT_Atentados_Terroristas
1992,1992,BARBOSA,ANTIOQUIA,COORDINADORA GUERRILLERA SIMÓN BOLÍVAR,1.0,6.439195,-75.331627,CAT_Atentados_Terroristas
1997,1997,APARTADO,ANTIOQUIA,FARC,10.0,7.86047815,-76.58236264,CAT_Atentados_Terroristas
1997,1997,PUERTO RICO,CAQUETA,FARC,1.0,2.018940891,-75.07308627,CAT_Atentados_Terroristas
2003,2003,SAN VICENTE DEL CAGUAN,CAQUETA,FARC,1.0,2.11965,-74.766451,CAT_Atentados_Terroristas
2003,2003,FLORENCIA,CAQUETA,FARC,14.0,1.749138704,-75.55823906,CAT_Atentados_Terroristas
2003,2003,FLORENCIA,CAQUETA,FARC,3.0,1.618234,-75.609796,CAT_Atentados_Terroristas
2011,2011,CALDONO,CAUCA,FARC,0.0,2.785615005,-76.51863329,CAT_Atentados_Terroristas
2012,2012,EL TARRA,NORTE DE SANTANDER,FARC,0.0,8.574281,-73.09614,CAT_Atentados_Terroristas
2012,2012,SANDONA,NARIÑO,FARC,0.0,1.286137,-77.469571,CAT_Atentados_Terroristas
2012,2012,BUENAVENTURA,VALLE DEL CAUCA,FARC,0.0,3.875708,-77.01074,CAT_Atentados_Terroristas
2012,2012,TAME,ARAUCA,FARC,2.0,6.390650479,-71.79178647,CAT_Atentados_Terroristas
2014,2014,SAN ANDRES DE CUERQUIA,ANTIOQUIA,FARC,0.0,6.912558,-75.676008,CAT_Atentados_Terroristas
2002,2002,LA JAGUA DEL PILAR,LA GUAJIRA,FARC,0.0,10.4580941,-73.07209193,CAT_Atentados_Terroristas
2011,2011,EL CHARCO,NARIÑO,FARC,0.0,2.216382295,-77.99533234,CAT_Atentados_Terroristas
2012,2012,PATIA,CAUCA,FARC,0.0,2.115875,-76.981075,CAT_Atentados_Terroristas
2001,2001,GRANADA,META,FARC,0.0,3.551865,-73.712572,CAT_Atentados_Terroristas
2012,2012,BALBOA,CAUCA,FARC,0.0,2.084732945,-77.2088133,CAT_Atentados_Terroristas
1988,1988,"BOGOTA, D.C.","BOGOTA, D. C.",OTRO,0.0,4.316107698,-74.1810727,CAT_Atentados_Terroristas
1976,1976,"BOGOTA, D.C.","BOGOTA, D. C.",EPL,0.0,4.316107698,-74.1810727,CAT_Atentados_Terroristas
2000,2000,RONCESVALLES,TOLIMA,FARC,3.0,4.097861181,-75.59428027,CAT_Atentados_Terroristas
2006,2006,BARRANCABERMEJA,SANTANDER,URABEÑOS/AUTODEFENSAS GAITANISTAS DE COLOMBIA/ÁGUILAS NEGRAS/CLAN ÚSUGA,0.0,7.054074558,-73.78211646,CAT_Atentados_Terroristas
2019,2019,"BOGOTA, D.C.","BOGOTA, D. C.",ELN,20.0,4.316107698,-74.1810727,CAT_Atentados_Terroristas
2018,2018,ARAUQUITA,ARAUCA,PRESENCIA GAO SIN ATRIBUCIÓN,4.0,6.84134566,-71.59795501,CAT_Atentados_Terroristas
2021,2021,CORINTO,CAUCA,DISIDENCIA FARC,0.0,3.173854,-76.261866,CAT_Atentados_Terroristas
2015,2015,ARGELIA,CAUCA,FARC,0.0,2.257427,-77.24905,CAT_Atentados_Terroristas
1983,1983,MEDELLIN,ANTIOQUIA,ELN,0.0,6.250063,-75.578661,CAT_Atentados_Terroristas
2003,2003,FORTUL,ARAUCA,FARC,1.0,6.792738,-71.774279,CAT_Atentados_Terroristas
2007,2007,BUENAVENTURA,VALLE DEL CAUCA,FARC,2.0,3.93032998,-77.35596327,CAT_Atentados_Terroristas
2021,2021,CUCUTA,NORTE DE SANTANDER,DISIDENCIA FARC,0.0,7.905613,-72.508577,CAT_Atentados_Terroristas
2022,2022,SARAVENA,ARAUCA,DISIDENCIA FARC,1.0,6.953926,-71.872812,CAT_Atentados_Terroristas
2014,2014,PRADERA,VALLE DEL CAUCA,FARC,1.0,3.419847,-76.241832,CAT_Atentados_Terroristas
2022,2022,EL TAMBO,CAUCA,DISIDENCIA FARC,5.0,2.451409,-76.810911,CAT_Atentados_Terroristas
2022,2022,ARGELIA,CAUCA,PRESENCIA GAO SIN ATRIBUCIÓN,0.0,2.384480734,-77.21574486,CAT_Atentados_Terroristas
2022,2022,ARGELIA,CAUCA,PRESENCIA GAO SIN ATRIBUCIÓN,0.0,2.257427,-77.24905,CAT_Atentados_Terroristas
2022,2022,CALOTO,CAUCA,DISIDENCIA FARC,0.0,3.034531,-76.408941,CAT_Atentados_Terroristas
2022,2022,"BOGOTA, D.C.","BOGOTA, D. C.",DISIDENCIA FARC,2.0,4.650173,-74.107359,CAT_Atentados_Terroristas
2022,2022,LA GLORIA,CESAR,PRESENCIA GAO SIN ATRIBUCIÓN,0.0,8.588002247,-73.61602384,CAT_Atentados_Terroristas
2022,2022,TIBU,NORTE DE SANTANDER,PRESENCIA GAO SIN ATRIBUCIÓN,0.0,8.713507237,-72.79925855,CAT_Atentados_Terroristas
2022,2022,PATIA,CAUCA,DISIDENCIA FARC,1.0,2.157983906,-77.0465762,CAT_Atentados_Terroristas
1944,1944,BUCARAMANGA,SANTANDER,OTRO,3.0,7.155833544,-73.11156997,CAT_Atentados_Terroristas
2023,2023,JAMUNDI,VALLE DEL CAUCA,DISIDENCIA FARC,0.0,3.213892389,-76.62760418,CAT_Atentados_Terroristas
2012,2012,"BOGOTA, D.C.","BOGOTA, D. C.",FARC,2.0,4.650173,-74.107359,CAT_Atentados_Terroristas
2024,2024,MORALES,CAUCA,DISIDENCIA FARC,0.0,2.773663981,-76.74605152,CAT_Atentados_Terroristas
2024,2024,JAMUNDI,VALLE DEL CAUCA,DISIDENCIA FARC,0.0,3.260449,-76.539785,CAT_Atentados_Terroristas
2024,2024,ARGELIA,CAUCA,DISIDENCIA FARC,0.0,2.46383187,-77.23558959,CAT_Atentados_Terroristas
1991,1991,JERUSALEN,CUNDINAMARCA,FARC,1.0,4.571350254,-74.689158536,CDF_Desaparicion_Forzada
2004,2004,LA MESA,CUNDINAMARCA,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,1.0,4.650773167,-74.47321717,CDF_Desaparicion_Forzada
1993,1993,YACOPI,CUNDINAMARCA,OTRO,2.0,5.459290341,-74.33802435,CDF_Desaparicion_Forzada
1997,1997,BOJAYA,CHOCO,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,1.0,6.474666885,-77.09933025,CDF_Desaparicion_Forzada
1997,1997,RIOSUCIO,CHOCO,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,1.0,7.375606,-77.35636,CDF_Desaparicion_Forzada
2004,2004,RIOHACHA,LA GUAJIRA,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,1.0,11.24297214,-72.95876315,CDF_Desaparicion_Forzada
2000,2000,MAICAO,LA GUAJIRA,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,3.0,11.38157764,-72.29500818,CDF_Desaparicion_Forzada
2004,2004,SANTA MARTA,MAGDALENA,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,2.0,11.12189436,-73.88527855,CDF_Desaparicion_Forzada
1999,1999,SANTA MARTA,MAGDALENA,AUTODEFENSAS DE HERNÁN GIRALDO,1.0,11.12189436,-73.88527855,CDF_Desaparicion_Forzada
