departamento,municipio,municipio_id,year,loss_ha,key
Tolima,San Sebastian de Mariquita,SAN SEBASTIAN DE MARIQUITA,2023,25,SAN SEBASTIAN DE MARIQUITA_2023
Tolima,Santa Isabel,SANTA ISABEL,2023,2,SANTA ISABEL_2023
Tolima,Suárez,SUAREZ,2023,9,SUAREZ_2023
Tolima,Valle de San Juan,VALLE DE SAN JUAN,2023,30,VALLE DE SAN JUAN_2023
Tolima,Venadillo,VENADILLO,2023,8,VENADILLO_2023
Tolima,Villahermosa,VILLAHERMOSA,2023,14,VILLAHERMOSA_2023
Tolima,Villarrica,VILLARRICA,2023,21,VILLARRICA_2023
Valle del Cauca,Alcalá,ALCALA,2023,20,ALCALA_2023
Valle del Cauca,Andalucía,ANDALUCIA,2023,9,ANDALUCIA_2023
Valle del Cauca,Ansermanuevo,ANSERMANUEVO,2023,34,ANSERMANUEVO_2023
Valle del Cauca,Argelia,ARGELIA,2023,50,ARGELIA_2023
Valle del Cauca,Bolívar,BOLIVAR,2023,43,BOLIVAR_2023
Valle del Cauca,Buenaventura,BUENAVENTURA,2023,63,BUENAVENTURA_2023
Valle del Cauca,Bugalagrande,BUGALAGRANDE,2023,41,BUGALAGRANDE_2023
Valle del Cauca,Caicedonia,CAICEDONIA,2023,63,CAICEDONIA_2023
Valle del Cauca,Calima,CALIMA,2023,41,CALIMA_2023
Valle del Cauca,Candelaria,CANDELARIA,2023,0,CANDELARIA_2023
Valle del Cauca,Cartago,CARTAGO,2023,4,CARTAGO_2023
Valle del Cauca,Dagua,DAGUA,2023,51,DAGUA_2023
Valle del Cauca,El Cairo,EL CAIRO,2023,39,EL CAIRO_2023
Valle del Cauca,El Cerrito,EL CERRITO,2023,37,EL CERRITO_2023
Valle del Cauca,El Dovio,EL DOVIO,2023,22,EL DOVIO_2023
Valle del Cauca,El Águila,EL AGUILA,2023,71,EL AGUILA_2023
Valle del Cauca,Florida,FLORIDA,2023,3,FLORIDA_2023
Valle del Cauca,Ginebra,GINEBRA,2023,32,GINEBRA_2023
Valle del Cauca,Guacarí,GUACARI,2023,2,GUACARI_2023
Valle del Cauca,Guadalajara de Buga,GUADALAJARA DE BUGA,2023,16,GUADALAJARA DE BUGA_2023
Valle del Cauca,Jamundí,JAMUNDI,2023,35,JAMUNDI_2023
Valle del Cauca,La Cumbre,LA CUMBRE,2023,20,LA CUMBRE_2023
Valle del Cauca,La Unión,LA UNION,2023,2,LA UNION_2023
Valle del Cauca,La Victoria,LA VICTORIA,2023,1,LA VICTORIA_2023
Valle del Cauca,Obando,OBANDO,2023,3,OBANDO_2023
Valle del Cauca,Palmira,PALMIRA,2023,39,PALMIRA_2023
Valle del Cauca,Pradera,PRADERA,2023,15,PRADERA_2023
Valle del Cauca,Restrepo,RESTREPO,2023,50,RESTREPO_2023
Valle del Cauca,Riofrío,RIOFRIO,2023,26,RIOFRIO_2023
Valle del Cauca,Roldanillo,ROLDANILLO,2023,7,ROLDANILLO_2023
Valle del Cauca,San Pedro,SAN PEDRO,2023,3,SAN PEDRO_2023
Valle del Cauca,Santiago de Cali,SANTIAGO DE CALI,2023,1,SANTIAGO DE CALI_2023
Valle del Cauca,Sevilla,SEVILLA,2023,65,SEVILLA_2023
Valle del Cauca,Toro,TORO,2023,9,TORO_2023
Valle del Cauca,Trujillo,TRUJILLO,2023,111,TRUJILLO_2023
Valle del Cauca,Tuluá,TULUA,2023,146,TULUA_2023
Valle del Cauca,Ulloa,ULLOA,2023,5,ULLOA_2023
Valle del Cauca,Versalles,VERSALLES,2023,7,VERSALLES_2023
Valle del Cauca,Vijes,VIJES,2023,39,VIJES_2023
Valle del Cauca,Yotoco,YOTOCO,2023,17,YOTOCO_2023
Valle del Cauca,Yumbo,YUMBO,2023,2,YUMBO_2023
Valle del Cauca,Zarzal,ZARZAL,2023,8,ZARZAL_2023
Vaupés,Carurú,CARURU,2023,832,CARURU_2023
Vaupés,Mitú,MITU,2023,1526,MITU_2023
Vaupés,Pacoa,PACOA,2023,637,PACOA_2023
Vaupés,Papunahua,PAPUNAHUA,2023,134,PAPUNAHUA_2023
Vaupés,Taraira,TARAIRA,2023,195,TARAIRA_2023
Vaupés,Yavaraté,YAVARATE,2023,261,YAVARATE_2023
Vichada,Cumaribo,CUMARIBO,2023,4443,CUMARIBO_2023
Vichada,La Primavera,LA PRIMAVERA,2023,315,LA PRIMAVERA_2023
Vichada,Puerto Carreño,PUERTO CARRENO,2023,185,PUERTO CARRENO_2023
Vichada,Santa Rosalía,SANTA ROSALIA,2023,34,SANTA ROSALIA_2023
Amazonas,El Encanto,EL ENCANTO,2024,365,EL ENCANTO_2024
Amazonas,La Chorrera,LA CHORRERA,2024,237,LA CHORRERA_2024
Amazonas,La Pedrera,LA PEDRERA,2024,555,LA PEDRERA_2024
Amazonas,La Victoria,LA VICTORIA,2024,21,LA VICTORIA_2024
Amazonas,Leticia,LETICIA,2024,496,LETICIA_2024
Amazonas,Mirití-Paraná,MIRITI-PARANA,2024,443,MIRITI-PARANA_2024
Amazonas,Puerto Alegria,PUERTO ALEGRIA,2024,233,PUERTO ALEGRIA_2024
Amazonas,Puerto Arica,PUERTO ARICA,2024,146,PUERTO ARICA_2024
Amazonas,Puerto Nariño,PUERTO NARINO,2024,76,PUERTO NARINO_2024
Amazonas,Puerto Santander,PUERTO SANTANDER,2024,286,PUERTO SANTANDER_2024
Amazonas,Tarapacá,TARAPACA,2024,377,TARAPACA_2024
Antioquia,Abejorral,ABEJORRAL,2024,156,ABEJORRAL_2024
Antioquia,Abriaquí,ABRIAQUI,2024,81,ABRIAQUI_2024
Antioquia,Alejandría,ALEJANDRIA,2024,8,ALEJANDRIA_2024
Antioquia,Amagá,AMAGA,2024,8,AMAGA_2024
Antioquia,Amalfi,AMALFI,2024,554,AMALFI_2024
Antioquia,Andes,ANDES,2024,254,ANDES_2024
Antioquia,Angelópolis,ANGELOPOLIS,2024,29,ANGELOPOLIS_2024
Antioquia,Angostura,ANGOSTURA,2024,95,ANGOSTURA_2024
Antioquia,Anorí,ANORI,2024,620,ANORI_2024
Antioquia,Anzá,ANZA,2024,54,ANZA_2024
Antioquia,Apartadó,APARTADO,2024,167,APARTADO_2024
Antioquia,Arboletes,ARBOLETES,2024,215,ARBOLETES_2024
Antioquia,Argelia,ARGELIA,2024,64,ARGELIA_2024
Antioquia,Armenia,ARMENIA,2024,2,ARMENIA_2024
Antioquia,Barbosa,BARBOSA,2024,33,BARBOSA_2024
Antioquia,Bello,BELLO,2024,14,BELLO_2024
Antioquia,Belmira,BELMIRA,2024,26,BELMIRA_2024
Antioquia,Betania,BETANIA,2024,156,BETANIA_2024
Antioquia,Betulia,BETULIA,2024,137,BETULIA_2024
Antioquia,Briceño,BRICENO,2024,49,BRICENO_2024
Antioquia,Buriticá,BURITICA,2024,48,BURITICA_2024
Antioquia,Caicedo,CAICEDO,2024,62,CAICEDO_2024
Antioquia,Caldas,CALDAS,2024,65,CALDAS_2024
Antioquia,Campamento,CAMPAMENTO,2024,46,CAMPAMENTO_2024
Antioquia,Caracolí,CARACOLI,2024,459,CARACOLI_2024
Antioquia,Caramanta,CARAMANTA,2024,13,CARAMANTA_2024
Antioquia,Carepa,CAREPA,2024,354,CAREPA_2024
Antioquia,Carolina del Principe,CAROLINA DEL PRINCIPE,2024,56,CAROLINA DEL PRINCIPE_2024
Antioquia,Caucasia,CAUCASIA,2024,419,CAUCASIA_2024
Antioquia,Cañasgordas,CANASGORDAS,2024,115,CANASGORDAS_2024
Antioquia,Chigorodó,CHIGORODO,2024,206,CHIGORODO_2024
Antioquia,Cisneros,CISNEROS,2024,5,CISNEROS_2024
Antioquia,Ciudad Bolívar,CIUDAD BOLIVAR,2024,252,CIUDAD BOLIVAR_2024
Antioquia,Cocorná,COCORNA,2024,20,COCORNA_2024
Antioquia,Concepción,CONCEPCION,2024,3,CONCEPCION_2024
Antioquia,Concordia,CONCORDIA,2024,103,CONCORDIA_2024
Antioquia,Copacabana,COPACABANA,2024,3,COPACABANA_2024
Antioquia,Cáceres,CACERES,2024,682,CACERES_2024
